Google,DuckDuckGo,Query,Relevant,MyRanking,Document
1,3,SW1,TRUE,5,https://www.analyticsvidhya.com/blog/2016/11/an-introduction-to-clustering-and-different-methods-of-clustering/
2,1,SW1,TRUE,11,https://en.wikipedia.org/wiki/Cluster_analysis
3,7,SW1,TRUE,3,https://towardsdatascience.com/the-5-clustering-algorithms-data-scientists-need-to-know-a36d136ef68
4,-1,SW1,TRUE,4,https://scikit-learn.org/stable/modules/clustering.html
5,6,SW1,TRUE,8,https://www.geeksforgeeks.org/clustering-in-machine-learning/
6,-1,SW1,TRUE,9,https://developers.google.com/machine-learning/clustering/clustering-algorithms
7,2,SW1,TRUE,10,https://developers.google.com/machine-learning/clustering/overview
8,-1,SW1,TRUE,6,https://machinelearningmastery.com/clustering-algorithms-with-python/
9,-1,SW1,TRUE,7,https://www.datanovia.com/en/blog/types-of-clustering-methods-overview-and-quick-start-r-code/
10,-1,SW1,TRUE,12,https://www.youtube.com/watch?v=4b5d3muPQmA
-1,4,SW1,TRUE,13,https://www.educba.com/types-of-clustering/
-1,5,SW1,FALSE,-1,https://www.thoughtco.com/clustering-discovery-strategy-in-composition-1689857
-1,8,SW1,FALSE,-1,https://www.techopedia.com/definition/17/database-clustering
-1,9,SW1,TRUE,1,https://www-users.cs.umn.edu/~kumar001/dmbook/ch8.pdf
-1,10,SW1,TRUE,2,http://www.stat.columbia.edu/~madigan/W2025/notes/clustering.pdf
1,7,SW2,TRUE,3,https://en.wikipedia.org/wiki/Dynamic_time_warping
2,4,SW2,FALSE,-1,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Airport
3,1,SW2,FALSE,-1,https://www.metroairport.com
4,-1,SW2,TRUE,1,https://towardsdatascience.com/dynamic-time-warping-3933f25fcdd
5,-1,SW2,TRUE,4,https://www.mathworks.com/help/signal/ref/dtw.html
6,-1,SW2,TRUE,5,https://cran.r-project.org/web/packages/dtw/dtw.pdf
7,-1,SW2,TRUE,6,https://cran.r-project.org/web/packages/dtw/index.html
